timestamp,open,high,low,close,volume
2026-01-01 00:00:00,1.08,1.0815,1.0788,1.0808,1000
2026-01-01 01:00:00,1.0801,1.0816,1.0789,1.0809,1005
2026-01-01 02:00:00,1.0802,1.0817,1.079,1.081,1010
2026-01-01 03:00:00,1.0803,1.0818,1.0791,1.0811,1015
2026-01-01 04:00:00,1.0804,1.0819,1.0792,1.0812,1020
2026-01-01 05:00:00,1.0805,1.082,1.0793,1.0813,1025
2026-01-01 06:00:00,1.0806,1.0820999999999998,1.0794,1.0814,1030
2026-01-01 07:00:00,1.0807,1.0821999999999998,1.0795,1.0815,1035
2026-01-01 08:00:00,1.0808,1.0822999999999998,1.0796,1.0816,1040
2026-01-01 09:00:00,1.0809,1.0823999999999998,1.0797,1.0817,1045
2026-01-01 10:00:00,1.081,1.0824999999999998,1.0798,1.0818,1050
2026-01-01 11:00:00,1.0811000000000002,1.0826,1.0799,1.0819,1055
2026-01-01 12:00:00,1.0812000000000002,1.0827,1.08,1.082,1060
2026-01-01 13:00:00,1.0813,1.0828,1.0801,1.0821,1065
2026-01-01 14:00:00,1.0814,1.0829,1.0802,1.0822,1070
2026-01-01 15:00:00,1.0815,1.083,1.0803,1.0823,1075
2026-01-01 16:00:00,1.0816,1.0831,1.0804,1.0824,1080
2026-01-01 17:00:00,1.0817,1.0832,1.0805,1.0825,1085
2026-01-01 18:00:00,1.0818,1.0833,1.0806,1.0826,1090
2026-01-01 19:00:00,1.0819,1.0834,1.0807,1.0827,1095
2026-01-01 20:00:00,1.082,1.0835,1.0808,1.0828,1100
2026-01-01 21:00:00,1.0821,1.0836,1.0809,1.0829,1105
2026-01-01 22:00:00,1.0822,1.0837,1.081,1.083,1110
2026-01-01 23:00:00,1.0823,1.0838,1.0811,1.0831,1115
2026-01-02 00:00:00,1.0824,1.0839,1.0812,1.0832,1120
2026-01-02 01:00:00,1.0825,1.084,1.0813,1.0833,1125
2026-01-02 02:00:00,1.0826,1.0840999999999998,1.0814,1.0834,1130
2026-01-02 03:00:00,1.0827,1.0841999999999998,1.0815,1.0835,1135
2026-01-02 04:00:00,1.0828,1.0842999999999998,1.0816,1.0836,1140
2026-01-02 05:00:00,1.0829,1.0843999999999998,1.0817,1.0837,1145
2026-01-02 06:00:00,1.083,1.0844999999999998,1.0818,1.0838,1150
