timestamp,open,high,low,close,volume
2026-01-01 00:00:00,1.08,1.0815,1.079,1.0808,1000
2026-01-01 01:00:00,1.0801,1.0816,1.0791,1.0809,1000
2026-01-01 02:00:00,1.0802,1.0817,1.0792,1.081,1000
2026-01-01 03:00:00,1.0803,1.0818,1.0793,1.0811,1000
2026-01-01 04:00:00,1.0804,1.0819,1.0794,1.0812,1000
2026-01-01 05:00:00,1.0805,1.082,1.0795,1.0813,1000
2026-01-01 06:00:00,1.0806,1.0820999999999998,1.0796,1.0814,1000
2026-01-01 07:00:00,1.0807,1.0821999999999998,1.0797,1.0815,1000
2026-01-01 08:00:00,1.0808,1.0822999999999998,1.0798,1.0816,1000
2026-01-01 09:00:00,1.0809,1.0823999999999998,1.0799,1.0817,1000
2026-01-01 10:00:00,1.081,1.0824999999999998,1.0799999999999998,1.0818,1000
2026-01-01 11:00:00,1.0811000000000002,1.0826,1.0801,1.0819,1000
2026-01-01 12:00:00,1.0812000000000002,1.0827,1.0802,1.082,1000
2026-01-01 13:00:00,1.0813,1.0828,1.0803,1.0821,1000
2026-01-01 14:00:00,1.0814,1.0829,1.0804,1.0822,1000
2026-01-01 15:00:00,1.0815,1.083,1.0805,1.0823,1000
2026-01-01 16:00:00,1.0816,1.0831,1.0806,1.0824,1000
2026-01-01 17:00:00,1.0817,1.0832,1.0807,1.0825,1000
2026-01-01 18:00:00,1.0818,1.0833,1.0808,1.0826,1000
2026-01-01 19:00:00,1.0819,1.0834,1.0809,1.0827,1000
2026-01-01 20:00:00,1.082,1.0835,1.081,1.0828,1000
2026-01-01 21:00:00,1.0821,1.0836,1.0811,1.0829,1000
2026-01-01 22:00:00,1.0822,1.0837,1.0812,1.083,1000
2026-01-01 23:00:00,1.0823,1.0838,1.0813,1.0831,1000
2026-01-02 00:00:00,1.0824,1.0839,1.0814,1.0832,1000
2026-01-02 01:00:00,1.0825,1.084,1.0815,1.0833,1000
2026-01-02 02:00:00,1.0826,1.0840999999999998,1.0816,1.0834,1000
2026-01-02 03:00:00,1.0827,1.0841999999999998,1.0817,1.0835,1000
2026-01-02 04:00:00,1.0828,1.0842999999999998,1.0818,1.0836,1000
2026-01-02 05:00:00,1.0829,1.0843999999999998,1.0819,1.0837,1000
2026-01-02 06:00:00,1.083,1.0844999999999998,1.082,1.0838,1000
2026-01-02 07:00:00,1.0831000000000002,1.0846,1.0821,1.0839,1000
2026-01-02 08:00:00,1.0832000000000002,1.0847,1.0822,1.084,1000
2026-01-02 09:00:00,1.0833000000000002,1.0848,1.0823,1.0841,1000
2026-01-02 10:00:00,1.0834,1.0849,1.0824,1.0842,1000
2026-01-02 11:00:00,1.0835,1.085,1.0825,1.0843,1000
2026-01-02 12:00:00,1.0836,1.0851,1.0826,1.0844,1000
2026-01-02 13:00:00,1.0837,1.0852,1.0827,1.0845,1000
2026-01-02 14:00:00,1.0838,1.0853,1.0828,1.0846,1000
2026-01-02 15:00:00,1.0839,1.0854,1.0829,1.0847,1000
2026-01-02 16:00:00,1.084,1.0855,1.083,1.0848,1000
2026-01-02 17:00:00,1.0841,1.0856,1.0831,1.0849,1000
2026-01-02 18:00:00,1.0842,1.0857,1.0832,1.085,1000
2026-01-02 19:00:00,1.0843,1.0858,1.0833,1.0851,1000
2026-01-02 20:00:00,1.0844,1.0859,1.0834,1.0852,1000
2026-01-02 21:00:00,1.0845,1.086,1.0835,1.0853,1000
2026-01-02 22:00:00,1.0846,1.0860999999999998,1.0836,1.0854,1000
2026-01-02 23:00:00,1.0847,1.0861999999999998,1.0837,1.0855,1000
2026-01-03 00:00:00,1.0848,1.0862999999999998,1.0838,1.0856,1000
2026-01-03 01:00:00,1.0849,1.0863999999999998,1.0839,1.0857,1000
2026-01-03 02:00:00,1.085,1.0864999999999998,1.084,1.0858,1000
2026-01-03 03:00:00,1.0851000000000002,1.0866,1.0841,1.0859,1000
2026-01-03 04:00:00,1.0852000000000002,1.0867,1.0842,1.086,1000
2026-01-03 05:00:00,1.0853000000000002,1.0868,1.0843,1.0861,1000
2026-01-03 06:00:00,1.0854,1.0869,1.0844,1.0862,1000
2026-01-03 07:00:00,1.0855,1.087,1.0845,1.0863,1000
2026-01-03 08:00:00,1.0856,1.0871,1.0846,1.0864,1000
2026-01-03 09:00:00,1.0857,1.0872,1.0847,1.0865,1000
2026-01-03 10:00:00,1.0858,1.0873,1.0848,1.0866,1000
2026-01-03 11:00:00,1.0859,1.0874,1.0849,1.0867,1000
2026-01-03 12:00:00,1.086,1.0875,1.085,1.0868,1000
2026-01-03 13:00:00,1.0861,1.0876,1.0851,1.0869,1000
2026-01-03 14:00:00,1.0862,1.0877,1.0852,1.087,1000
2026-01-03 15:00:00,1.0863,1.0878,1.0853,1.0871,1000
2026-01-03 16:00:00,1.0864,1.0879,1.0854,1.0872,1000
2026-01-03 17:00:00,1.0865,1.088,1.0855,1.0873,1000
2026-01-03 18:00:00,1.0866,1.0880999999999998,1.0856,1.0874,1000
2026-01-03 19:00:00,1.0867,1.0881999999999998,1.0857,1.0875,1000
2026-01-03 20:00:00,1.0868,1.0882999999999998,1.0858,1.0876,1000
2026-01-03 21:00:00,1.0869,1.0883999999999998,1.0859,1.0877,1000
2026-01-03 22:00:00,1.087,1.0884999999999998,1.086,1.0878,1000
2026-01-03 23:00:00,1.0871000000000002,1.0886,1.0861,1.0879,1000
2026-01-04 00:00:00,1.0872000000000002,1.0887,1.0862,1.088,1000
